"","dn","ds","dnds","ran"
"Charadriidae",-9.5702534323407,-6.75358118704713,-6.44750459474911,-6.95407207487164
"Recurvirostridae",-9.3680799678354,-6.70982744602928,-5.82845120276479,-6.99899566744714
"Haematopodidae",-9.08002902381368,-6.56042160574954,-5.7193298148308,-6.73053348069635
"Scolopacidae",-9.26161729389945,-6.38400268836372,-6.66202110531497,-6.76193230379943
"Pedionomidae",-8.72201317150288,-6.04292148364463,-5.97904143451353,-6.29864375447249
"Thinocoridae",-8.58873302289155,-5.99860935718105,-5.88426057392403,-6.34848909042374
"Jacanidae",-8.67792205888637,-5.94305497431452,-6.14065015210461,-6.29682775029632
"Rostratulidae",-8.95014310245429,-6.14477052835086,-6.22617517593304,-6.47877900056704
"Turnicidae",-8.08743489441522,-5.60299217036184,-6.41397486028623,-5.73352432984921
"Dromadidae",-9.36767349045143,-6.83510220131544,-6.01949230167799,-7.18343319415814
"Glareolidae",-9.03377253437309,-6.45729955814054,-6.03205616654504,-6.58750308102995
"Stercorariidae",-9.31890565650755,-6.83250119663903,-5.90554229293058,-7.12372994716418
"Alcidae",-9.23121230741173,-6.79782003114922,-5.83058585743937,-7.01433648341227
"Laridae",-9.50709182356024,-6.78186842546512,-6.19060957714042,-7.02186962684486
"Caprimulgidae",-9.03040970971337,-6.51958205472164,-6.73710013129738,-6.63890747447704
"Steatornithidae",-9.06667343719697,-6.61182502120463,-6.62998480821378,-6.72805440368578
"Nyctibiidae",-9.04796077910698,-6.78341135870853,-6.47365267549186,-6.97305956600837
"Podargidae",-8.87131072769517,-6.40694853873866,-6.65269239211781,-6.69020616456133
"Aegothelidae",-8.91908359788752,-6.38610308734158,-6.67467003498587,-6.65081194796048
"Apodidae",-8.91323621777081,-6.42214393387605,-6.55692404597119,-6.62079632768622
"Trochilidae",-8.49848440073055,-6.03721525211258,-6.55736754492164,-6.15549176420692
"Phaethontidae",-9.2122572931691,-6.68936819518122,-6.67663937942283,-6.83552851413376
"Eurypygidae",-8.84357627614076,-6.34080674861683,-5.98277106430553,-6.57885915199594
"Rhynochetidae",-8.91561786031473,-6.41693778931207,-6.01023608036819,-6.66048886558475
"Gaviidae",-9.53799727778,-7.07212879856732,-6.64814766135563,-7.17616738142685
"Spheniscidae",-9.63513937874109,-7.28790324605427,-6.55933459379549,-7.46922754690867
"Diomedeidae",-9.77756486698854,-7.2541767090598,-6.72464369916031,-7.68839212595992
"Oceanitidae",-9.55801475235529,-7.02566431489337,-6.62806062238832,-7.20288349791351
"Hydrobatidae",-9.57295517022092,-7.14892829474481,-6.44610168684794,-7.37246444563498
"Procellariidae",-9.46815104592031,-7.06062953230917,-6.45191241549209,-7.20559058059776
"Ciconiidae",-9.63304406277996,-7.18903174932659,-6.65688772978639,-7.40819817205843
"Threskiornithidae",-9.58768844622113,-7.00342932212402,-6.74728949688329,-7.22645101666601
"Ardeidae",-9.4018685433182,-6.76919377842308,-6.76442933761561,-6.98467047566136
"Balaenicipitidae",-9.12530561169746,-6.7436991648956,-6.15951019963236,-7.16983110634663
"Pelecanidae",-8.962672508982,-6.66968095277282,-6.00885439081311,-6.94059302228535
"Scopidae",-9.0131156381273,-6.47053535332859,-6.23961302383319,-6.67121555551514
"Fregatidae",-9.54947198925921,-7.0060255966221,-6.67499944613873,-7.38398271780879
"Sulidae",-9.30192134836445,-6.63080537511551,-6.40894690959572,-6.93177324007426
"Anhingidae",-9.19156886170751,-6.62345433386638,-6.20390978665413,-6.91305298301595
"Phalacrocoracidae",-8.99656655426606,-6.43798558174986,-6.17177640181134,-6.61074805267385
"Tytonidae",-9.17872268296437,-6.70360655573097,-6.52217519414746,-6.77935060978089
"Strigidae",-9.43457625217446,-6.91960828721522,-6.58065142968706,-7.06562692992047
"Cathartidae",-9.66327483097041,-7.32766236600542,-6.54290561796918,-7.54597096335552
"Sagittariidae",-9.45996333996435,-6.90336766535682,-6.61143099059854,-7.10410186894881
"Pandionidae",-9.07313025201204,-6.56190002615691,-6.13136529048304,-6.83963388838102
"Accipitridae",-9.41418678496747,-6.7179396965213,-6.31954856291809,-7.10805661922881
"Coliidae",-8.55398876424188,-6.00703026012427,-6.79945084114654,-6.20486295880206
"Leptosomidae",-9.12433437874492,-6.56554527780917,-6.76307024778168,-6.80340739383234
"Trogonidae",-8.89214929013579,-6.14801745166311,-6.94922387790658,-6.37823211487439
"Bucerotidae",-8.81737577931136,-6.27602910291418,-6.6677177311008,-6.59908021344628
"Phoeniculidae",-8.30559260882846,-5.67799017996176,-6.20751672999314,-5.90555856642411
"Upupidae",-8.38267421986678,-5.69238523235089,-6.25113266678545,-5.92524717548699
"Meropidae",-8.56855881807554,-6.08585759825406,-6.55271021707934,-6.36573760169422
"Brachypteraciidae",-8.63285486001465,-6.00033592877266,-6.40994874894117,-6.56316269251402
"Coraciidae",-8.98371276698999,-6.16307668391203,-6.55393015267338,-6.64107468925781
"Todidae",-8.68979268188897,-5.93385045257778,-6.73013001249611,-6.38487735349633
"Momotidae",-8.85171375805618,-6.14818741687802,-6.60387189317918,-6.40935673792898
"Alcedinidae",-8.99859369859849,-6.3017955937109,-6.59760090429537,-6.50956579273662
"Bucconidae",-8.3886452548519,-5.93781669212999,-6.28492584915033,-6.25213382094373
"Galbulidae",-8.56517098378211,-6.01010099190348,-6.37141999028148,-6.2753932011956
"Picidae",-8.68098408916419,-6.07041639315834,-5.98821271257901,-6.31150994213185
"Indicatoridae",-8.72502337146131,-6.27283835583772,-5.82359052368976,-6.44952087758489
"Ramphastidae",-8.63825119166668,-6.0075452118643,-6.35866960218477,-6.11742745695877
"Cariamidae",-9.26550658705188,-6.6840654533255,-6.83009431091208,-6.9409714191624
"Falconidae",-9.34296672617135,-6.72868273887934,-6.86997638274751,-7.00464154109544
"Strigopidae",-9.04192483432217,-6.50917289323451,-6.1310044192406,-6.66521409050536
"Cacatuidae",-9.00828712925333,-6.51431689455108,-5.90509656899678,-6.82278201222254
"Psittacidae",-8.64593880660398,-6.23484192925469,-5.64092923219359,-6.39007680621322
"Psittaculidae",-8.58801393460826,-6.14309034036664,-5.67231388883605,-6.29039380725037
"Acanthisittidae",-8.57573881009777,-6.11222685820178,-6.48132819680112,-6.42468355118047
"Philepittidae",-8.28769366773022,-5.87185340219463,-5.54848266472419,-6.15425051979288
"Eurylaimidae",-8.40858761117804,-5.9103269940191,-5.60132479523456,-6.14315872391332
"Sapayoidae",-8.71536888038051,-6.01139452032435,-6.10555720073564,-6.24162351102556
"Pittidae",-8.36532707677233,-5.74123746921693,-6.0382792199524,-5.97202320866038
"Calyptomenidae",-8.61052335398531,-6.06775578597561,-5.98329381890876,-6.2131688331671
"Thamnophilidae",-8.46703553903205,-5.84800103890307,-6.04897832828331,-6.13040014484104
"Grallariidae",-8.47269222068731,-5.95190411918486,-5.88983879773953,-6.1521208685829
"Rhinocryptidae",-8.70455969500034,-5.98487770650099,-6.02597786993041,-6.2750535929072
"Formicariidae",-8.30011525676731,-5.74165184136852,-5.85585263155101,-5.95685207052815
"Scleruridae",-8.77411255640469,-6.0409908942744,-5.66981137477234,-6.3219843856053
"Furnariidae",-8.54466641266801,-5.92781460110072,-5.40517032391611,-6.18533230673401
"Dendrocolaptidae",-8.4062793780589,-5.82449399219074,-5.39505510327809,-6.13356816896628
"Pipridae",-8.93084707770207,-6.2529300159827,-5.87321478641826,-6.45375977084552
"Cotingidae",-8.88177726657034,-6.159273902116,-5.85689554235985,-6.37182812768511
"Tityridae",-8.80390315559291,-6.08169291241517,-5.81431400263174,-6.19640177369563
"Onychorhynchidae",-8.65260392115595,-6.0205473204517,-5.67148201812452,-6.21135223344223
"Oxyruncidae",-8.77983446436483,-6.09487514988008,-5.74287806183142,-6.26667864169266
"Pipritidae",-8.73002134238863,-5.99731106899116,-5.71743548931728,-6.13935470242971
"Platyrinchidae",-8.73569249649791,-6.09064761037031,-5.61069794603904,-6.38055803147224
"Tachurididae",-8.72188276653513,-5.92431954836553,-5.70939643632398,-6.10398465468607
"Pipromorphidae",-8.50873324804373,-5.79498746430127,-5.57251661132663,-5.93750506798841
"Tyrannidae",-8.55097356597057,-5.81826856961156,-5.66907831690539,-6.16448907387082
"Atrichornithidae",-9.00226683127547,-6.28193308743153,-6.17076055506133,-6.44746186428894
"Menuridae",-9.12263199938272,-6.51463262310158,-6.04127596445328,-6.80770687595416
"Climacteridae",-8.71034822279764,-6.06161841985161,-6.24041834420428,-6.35625433459292
"Ptilonorhynchidae",-9.02417287370306,-6.32670275264855,-6.30671897649585,-6.61506990880396
"Maluridae",-8.56140012117296,-5.89779476571625,-6.11109306451518,-6.07480638703677
"Dasyornithidae",-8.8845334272974,-6.16999435598064,-6.07853668683051,-6.37314657833562
"Meliphagidae",-8.71487804882652,-6.09670723141307,-5.93024720241825,-6.28923986645457
"Acanthizidae",-8.81744225008267,-6.12394645939789,-5.9167969250036,-6.34558132907894
"Pardalotidae",-8.83062510245371,-6.17436654261685,-5.82111455575282,-6.34132399103368
"Orthonychidae",-8.74066253429354,-6.13333091140672,-6.05146647171011,-6.46318052695795
"Pomatostomidae",-8.67463561906197,-5.91033939050451,-6.25095057062379,-6.33813246827234
"Cinclosomatidae",-9.1117053997805,-6.47261617626287,-5.95348096110795,-6.61314906000446
"Campephagidae",-9.1207111654835,-6.47096838230336,-5.94776760684447,-6.64278840948097
"Rhipiduridae",-8.6940878170202,-5.95830728107881,-5.83919959551379,-6.16772186395615
"Dicruridae",-9.09432797227884,-6.4282757327126,-5.7482611643798,-6.616465470607
"Monarchidae",-8.83440789081995,-6.10398243816854,-5.81685378347716,-6.39122975173303
"Corcoracidae",-8.96240280177313,-6.44205196736523,-5.57409770784136,-6.59026003494523
"Ifritidae",-8.93243730618164,-6.37653673935986,-5.61127701639215,-6.54749840747286
"Paradisaeidae",-9.03739042995414,-6.513306040379,-5.56645700114294,-6.69943623866846
"Laniidae",-8.55406219642996,-5.96562739631123,-5.52172248064825,-6.06450900548078
"Corvidae",-8.86414371372203,-6.27363760408308,-5.5265742859716,-6.52097923049479
"Mohouidae",-9.22658403776331,-6.20890356008508,-6.26751474064041,-6.60417163829147
"Machaerirhynchidae",-8.96537651870123,-6.28962956670525,-5.70706720834959,-6.41209978218873
"Artamidae",-9.0097692421675,-6.3836337539287,-5.67097324911454,-6.58842915159444
"Rhagologidae",-9.03467501204308,-6.41471030789704,-5.59558865714821,-6.58639813144312
"Malaconotidae",-8.65102180417576,-6.07847898295597,-5.47066853504839,-6.35784346731734
"Platysteiridae",-8.4819659040465,-6.14836523396172,-5.22138802601877,-6.28871843281439
"Vangidae",-8.47218350053384,-6.09203746998248,-5.22227838619186,-6.23174692532755
"Neosittidae",-8.81554534869229,-6.17676198192102,-5.88251513436365,-6.44088907834792
"Eulacestomatidae",-9.02313136703544,-6.44842993495037,-5.80598625552747,-6.55668704999858
"Oreoicidae",-8.91432164402056,-6.32961878714781,-5.75854910995845,-6.5510485132388
"Falcunculidae",-9.00624146569749,-6.36121084514458,-5.79646115187296,-6.50773291668595
"Pachycephalidae",-8.84929006264006,-6.29441412213588,-5.74460189182716,-6.58194603561994
"Oriolidae",-8.8586544572327,-6.28758061905634,-5.73922817744167,-6.46882266451526
"Paramythiidae",-8.80210657354018,-6.21132625322593,-5.78783564542845,-6.32150694929999
"Vireonidae",-8.74175024680693,-6.15531124903836,-5.7748329671018,-6.27296194588112
"Cnemophilidae",-8.97971552968393,-6.35983910693666,-6.02361686293867,-6.55644297475135
"Melanocharitidae",-8.97157595455069,-6.30326764874255,-6.02228631184522,-6.51393651179088
"Callaeidae",-8.82343628123146,-6.23715207369164,-5.82017030463411,-6.46089699524331
"Notiomystidae",-8.40548658859481,-5.81392399293027,-5.84942995481247,-6.21220892301969
"Petroicidae",-8.50551967819656,-5.87862619957715,-5.92398923965318,-6.24528870115767
"Eupetidae",-8.53100380861605,-6.02468525105339,-5.7796892857171,-6.15038734232877
"Remizidae",-8.26063370992337,-5.67342516258778,-5.55834229538194,-5.87877442860519
"Paridae",-8.53117731250612,-5.82338336309298,-5.69446706617708,-6.03180313053779
"Alaudidae",-8.11711406404016,-5.37906584935703,-5.72267456576095,-5.93256480665551
"Panuridae",-8.49832906355933,-5.78103385364594,-5.62717210971884,-6.05601997920067
"Nicatoridae",-8.49492312031413,-5.92919213967052,-5.56496134864355,-6.10741335315792
"Macrosphenidae",-8.4155243167662,-5.89220323919251,-5.50593369536335,-6.09148992316929
"Cisticolidae",-8.07397601810956,-5.42353012262171,-5.63095926477924,-5.81148580997955
"Acrocephalidae",-8.50937864524571,-5.85567278699068,-5.55672373310728,-6.02979032359826
"Locustellidae",-8.42541903358228,-5.72406814025869,-5.5432676693953,-5.97071667621868
"Bernieridae",-8.19041331722411,-5.84737313141708,-5.16812433838966,-6.17272477696043
"Donacobiidae",-8.05716672794478,-5.71207490184901,-5.12488459856336,-5.93530337326904
"Hirundinidae",-8.37337750678224,-5.70330691272286,-5.58611346675149,-5.8557619207886
"Phylloscopidae",-8.31664034538112,-5.69215931200706,-5.44107906021726,-5.96749000035549
"Scotocercidae",-8.35719962469365,-5.78868134981437,-5.3733445931936,-6.0081910403569
"Aegithalidae",-8.24155938004927,-5.5703104812822,-5.48422966878204,-5.88817173211962
"Pycnonotidae",-8.35876382048685,-5.68288741028342,-5.5297622208818,-5.93308322419204
"Sylviidae",-8.61008013650067,-5.77752800278982,-5.58248832315965,-6.04982123302286
"Zosteropidae",-8.30022608646102,-5.61259988748175,-5.35493397566952,-5.89464578217668
"Pellorneidae",-8.43846438796958,-5.88878562659044,-5.10602888627504,-6.07589240728172
"Leiothrichidae",-8.35528442467488,-5.61470629203156,-5.38807534481728,-6.01229708324512
"Bombycillidae",-8.24285171873519,-5.70158612337661,-5.23315547164368,-5.93471773281156
"Ptiliogonatidae",-8.41878610878794,-5.91139769535357,-5.16636320525892,-6.15155919962814
"Regulidae",-8.3219130666566,-5.59234385867953,-5.82841881976411,-5.75991438418039
"Sittidae",-8.3134462540138,-5.67658876448764,-5.6254555401431,-5.89039988381143
"Polioptilidae",-8.5075559129833,-5.80170199509343,-5.29674416107536,-5.9947316804939
"Troglodytidae",-8.27911017421331,-5.58512385441045,-5.33721886163389,-5.84720021161442
"Certhiidae",-8.49988304742851,-5.76988225206567,-5.64735236277268,-5.93049328164694
"Timaliidae",-8.00987388052341,-5.47976536718642,-5.61018831107849,-5.60314658626576
"Buphagidae",-8.35119167539903,-6.02946364040936,-4.8430608069469,-6.20956366251167
"Mimidae",-8.34270901898703,-5.74002716006845,-5.11662147976734,-5.97400392725292
"Sturnidae",-8.41207683412898,-5.73350084278885,-5.18405490069158,-5.98755768805125
"Cinclidae",-8.3032601221017,-5.66915120317683,-5.4631027185591,-5.78698473743917
"Turdidae",-8.30463492345394,-5.67134806112219,-5.39795054202898,-5.86583982813171
"Muscicapidae",-8.24829515874984,-5.68640111455868,-5.33253196286535,-5.91464838770411
"Promeropidae",-8.73648125902004,-6.12411127139056,-5.63704989387902,-6.31455198058502
"Dicaeidae",-8.2464425973543,-5.82837370009031,-5.3164812598124,-6.1493451298005
"Nectariniidae",-8.60191787802826,-6.11353991178786,-5.34016954446786,-6.36475548583678
"Irenidae",-8.47389880934156,-5.87920543496742,-5.57710075581138,-6.08747137569353
"Peucedramidae",-8.60360758035728,-5.9587266970528,-5.55719101740706,-6.17482519719923
"Urocynchramidae",-8.56469647627921,-5.91021848069648,-5.5157954890993,-6.16945807123184
"Ploceidae",-8.69052577709216,-6.13190316638219,-5.31268688944753,-6.39012996259002
"Viduidae",-8.47039913004131,-5.97852712345058,-5.07741468020895,-6.18166028303174
"Estrildidae",-8.07682459654693,-5.60740274130758,-5.06474436482216,-5.7826742911417
"Prunellidae",-8.63034876742071,-5.88576853217797,-5.59209580585825,-6.21358734897096
"Passeridae",-8.48295744460325,-5.73122459902701,-5.52173661939355,-5.97309541243451
"Motacillidae",-8.64506910653445,-5.84529848947277,-5.4912120318269,-6.03246259121687
"Fringillidae",-8.50090046157268,-5.76119606435161,-5.37825840402733,-5.8737840249017
"Rhodinocichlidae",-8.74233961893355,-5.99478938659708,-5.24647357813662,-6.17865089875316
"Plectrophenacidae",-8.67760421143087,-5.81630910808798,-5.34061864909136,-5.97563189716402
"Cardinalidae",-8.31118324758568,-5.73925356445302,-4.91710608839018,-5.91226207060176
"Thraupidae",-8.23955611204321,-5.81544291310047,-4.73478444740569,-5.94567059327168
"Passerellidae",-8.1637361311986,-5.79618987210013,-4.55596177288744,-5.9323277639348
"Emberizidae",-8.04469366150888,-5.60967217412158,-4.62440145568758,-5.86505393026751
"Parulidae",-8.15479182091209,-5.53776572953392,-4.92625199074789,-5.77520249993601
"Icteridae",-8.45165109144866,-5.86032675163965,-4.89101364016267,-6.05986605931278
